sid,computing_id,cid,pid,submission,judge_output,status,language,submitted_at,score
194,Albus,1,1008,"/*
 Authors : Shahrad Sharif, Alireza Noori
 Date	 : July 30, 2022
 A Strange Programming Contest!
-------------------------------------------------------------------
This program is a tic-tac-toe game. User is playing ""O"", and
computer plays ""X"". User always plays first.
-------------------------------------------------------------------
*/

#include <stdio.h>
#include <stdlib.h>
#include <limits.h>
#include <ctype.h>

/* Constants for TTT game board symbols. */
#define EMPTY ' '
#define USER 'O'
#define COMPUTER 'X'
#define O 2
#define X 3
#define DRAW 1
#define THE_GAME_MUST_GO_ON 0
#define TRUE 1
#define FALSE 0

// Functions prototypes

void displayHorizontalLine();
void displayOneRow(char s1, char s2, char s3);
void tttTable(char[]);

int rowIsWinner(char s1, char s2, char s3);
int winning_arrangments(char[]);
int draw(char[]);

int valueInRange(int value);
int getUserChoice(char[]);
int insertUserChoice(char[]);

int compChoice(char array[], int);
void insertCompChoice(char[], int);

int userSaysYes(char[]);
char getCharInput();
void clearInputStream();
int getIntInput();

void game(char[], char[]);

// A function to start the array which will be in the 9 square of the tic-tac-to.
//  A function to ask the users and start the game
//  Initially the board is empty

/*In main, two arrays have created. One is for guiding user to choose the right square, and the other one, tttArray, is the game board itself.
The game will run continuously as long as the user wants to play.
*/
int main()
{
    char guidetttArray[9] = {'0', '1', '2', '3', '4', '5', '6', '7', '8'};
    char tttArray[9] = {' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '};

    if (userSaysYes(""Do you wanna play Tic-Tac-Toe?""))
    {
        game(tttArray, guidetttArray);
        while (userSaysYes(""Do you wanna play again?""))
        {
            char tttArray[9] = {' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '};
            game(tttArray, guidetttArray);
        }
    }

    return 0;
}

// This function displays one of the horizontal line in a TTT board.
void displayHorizontalLine()
{
    int lenghtOfTheLine = 20;
    for (int i = 0; i < lenghtOfTheLine; i++)
    {
        printf(""-"");
    }
    printf(""\n"");
}

// This function displays one row of a TTT board with squares s1, s2 and s3.
void displayOneRow(char s1, char s2, char s3)
{
    char vLine = '|';
    printf(""%7c%7c\n"", vLine, vLine);
    printf(""   %c  |  %c   |   %c  \n"", s1, s2, s3);
    printf(""%7c%7c%\n"", vLine, vLine);
}

// This function displays a complete TTT board, by using displayOneRow and displayHorizontalLine functions.
void tttTable(char array[])
{
    displayOneRow(array[0], array[1], array[2]);
    displayHorizontalLine();
    displayOneRow(array[3], array[4], array[5]);
    displayHorizontalLine();
    displayOneRow(array[6], array[7], array[8]);
}

// This function determine whether a series of 3 squares is winer or not.
int rowIsWinner(char s1, char s2, char s3)
{
    return (s1 == s2 && s2 == s3 && s1 != ' ');
}

// This function determines if a value is within a range of 0 to 8 for the game or not.
int valueInRange(int value)
{
    return (value >= 0 && value <= 8);
}

/* A function for all possible ways to find the winner, which is 8 possible ways. In the if function we call the numbers
 from the tttArray which represent the squares in the game, then if tttArray are now represented by O, user is the winner,
if represented by X, computer is the winner, if all of the squares are full but no one is winner, it is a draw,
and if neither, the game continues and the function return 0;
*/
int winning_arrangments(char tttArray[9])
{
    if (rowIsWinner(tttArray[0], tttArray[1], tttArray[2]))
    {
        if (tttArray[0] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[3], tttArray[4], tttArray[5]))
    {
        if (tttArray[3] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[6], tttArray[7], tttArray[8]))
    {
        if (tttArray[6] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[0], tttArray[3], tttArray[6]))
    {
        if (tttArray[0] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[1], tttArray[4], tttArray[7]))
    {
        if (tttArray[1] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[2], tttArray[5], tttArray[8]))
    {
        if (tttArray[2] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[0], tttArray[4], tttArray[8]))
    {
        if (tttArray[0] == 'O')
            return O;
        return X;
    }
    else if (rowIsWinner(tttArray[2], tttArray[4], tttArray[6]))
    {
        if (tttArray[2] == 'O')
            return O;
        return X;
    }
    else if (draw(tttArray))
        return DRAW;
    else
        return THE_GAME_MUST_GO_ON;
}

// This function determine if a draw has happened or not.
int draw(char tttArray[])
{
    for (int i = 0; i < 9; i++)
    {
        if (tttArray[i] == ' ')
            return FALSE;
    }
    return TRUE;
}

// A function to get the user choice; and if he/she does not follow the guide, program wants him/her to try again.
int getUserChoice(char Array[])
{
    int choice;
    printf(""Please choose a spot based on the guide!\n"");
    choice = getIntInput();
    while (!valueInRange(choice))
    {
        printf(""Invalid input! Please choose a spot based on the guide!\n"");
        choice = getIntInput();
    }
    while (Array[choice] == 'O' || Array[choice] == 'X')
    {
        printf(""This cell is occupied, choose another one.\n"");
        choice = getUserChoice(Array);
    }
    return choice;
}

// This function insert the approved input from the user into the game's Array.
int insertUserChoice(char array[])
{
    int i = getUserChoice(array);
    array[i] = 'O';
    return i;
}

/*This function return a choice for the computer.
computer choice is depend to the previous choice of the user.
If in the last move, user has chosen the square number n,
the computer will choose the (n+1)th empty square.
*/
int compChoice(char array[], int userChoice)
{
    int i = 0, count = 0;
    while (count < userChoice || array[(i) % 9] == 'X' || array[(i) % 9] == 'O')
    {
        if (array[(i) % 9] != 'X' && array[(i) % 9] != 'O')
        {
            count++;
        }
        i++;
    }
    return i % 9;
}

// This function will insert the computer choice into the the game's Array.
void insertCompChoice(char array[], int userChoice)
{
    array[compChoice(array, userChoice)] = 'X';
}

// This function asks the user if he/she wants to play ttt or not.
int userSaysYes(char question[])
{
    char answer;
    do
    {
        printf(""%s (Y/N):"", question);

        answer = getCharInput();
        answer = toupper(answer);
        clearInputStream();
    } while (!(answer == 'Y' || answer == 'N'));
    printf(""\n"");
    return (answer == 'Y');
}

// This function clears the newline characters ('\n') from the input stream and reads the first non-newline character.
char getCharInput()
{
    char input;
    input = getchar();
    while (input == '\n')
    {
        input = getchar();
    }
    return input;
}

/* This function clears everything left on the input stream until a newline
   character is read
*/
void clearInputStream()
{
    char input = getchar();
    while (input != '\n')
    {
        input = getchar();
    }
}

// This function keeps prompting the user to enter an int until they do so.
int getIntInput()
{
    int num;
    char term;

    while (scanf(""%d%c"", &num, &term) != 2 || term != '\n')
    {
        printf(""Improper input. Please enter an integer: \n"");
        clearInputStream();
    }
    return num;
}

/*This function calls different needed to play one turn.
First a guide for the game. Then getting user choice. After that Computer choose a square and the board will pop-up for the user.
When the game is done, this function will print who has won or it is a draw.
*/
void game(char tttArray[], char guidetttArray[])
{
    do
    {
        printf(""Great! It's your turn! You are playing 'O', and computer is 'X'.\n\n"");
        tttTable(guidetttArray);
        printf(""\n"");
        int choice = insertUserChoice(tttArray);
        if (winning_arrangments(tttArray))
        {
            break;
        }
        insertCompChoice(tttArray, choice);
        if (winning_arrangments(tttArray))
        {
            break;
        }
        printf(""\n"");
        tttTable(tttArray);
        printf(""\n"");

    }
    // A function that tells the user if they have won, lost or Draw versus computer.

    while (!winning_arrangments(tttArray));
    tttTable(tttArray);
    printf(""\n"");
    if (winning_arrangments(tttArray) == X)
    {
        printf(""\nComputer Won!\n"");
    }
    else if (winning_arrangments(tttArray) == O)
    {
        printf(""\nCongratulation! You Won.\n"");
    }
    else
    {
        printf(""\nDraw!\n"");
    }
}

/*
    for loosing play 0 - 8 - 3
    for a draw play 0 - 3 - 7 - 2 - 5
*/
",Only your latest submission will be checked,AC,C++17,2022-07-30 13:58:55.848449,10
195,FuduBoys,1,1007,"nums = list(map(int, input().split()))
planks = ['white'] * nums[0]

for i in range(nums[1]):
    query = input()
    if query[0] == 'p':
        for j in range(int(query[2]) - 1, int(query[4])):
            planks[j] = query[6:]
    else:
        print(planks[int(query[2]) - 1])
","Error with code 1:
Traceback (most recent call last):
  File ""/code/Main.py"", line 7, in <module>
    for j in range(int(query[2]) - 1, int(query[4])):
ValueError: invalid literal for int() with base 10: ' '
",ERR,Python3,2022-07-30 14:00:53.746549,0
196,YugoslaviaLover1992,1,1005,"#include <iostream>
#include <sstream>
#include <string>
#include <vector>

using namespace std;

struct plank {
  int num;
  string col = ""white"";
};

int main() {
  // n = number of planks, q = number of queries
  int n, q;

  cin >> n >> q;
  vector<plank> fence;

  for (int i = 0; i <= n; i++) {
    plank p;
    p.num = i + 1;
    // pushing p
    fence.push_back(p);
  }

  for (int i = 0; i <= q; i++) {
    string query;
    getline(cin, query);

    char qType = query[0];

    if (query[0] == 'p') {
      // paint colours from query[2] and query[4]
      int startInd, endInd;

      int counter = 0;

      istringstream iss(query);

      string word, newCol;

      while (iss >> word) {
        if (counter == 1) {
          startInd = stoi(word) - 1;
        } else if (counter == 2) {
          endInd = stoi(word) - 1;
        } else if (counter == 3) {
          newCol = word;
        }
        counter++;
      }

      for (startInd; startInd <= endInd; startInd++) {
        fence[startInd].col = newCol;
      }
    }

    if (query[0] == 'q') {
      string queryNum = query.substr(2, query.length() - 1);
      int ind = stoi(queryNum) - 1;

      cout << fence[ind].col << ""\n"";
    }
  }
}","WA on case 0, test 0",WA,C++17,2022-07-30 14:02:57.838597,0
229,teamAverage,1,1007,"#include <iostream>
#include <string>
#include <vector>
using namespace std;

int main(){
    //initialize map and iterator
    vector<string> fences;

    //read the number of fences and queries
    long numFences;
    long numQueries;
    cin >> numFences >> numQueries;

    //insert all initial elements as white
    for (int i = 0; i < numFences; i++){
        fences.push_back(""white"");
    }

    //initialize all the variables needed
    char type;

    //take the input in a loop
    for(int i = 0; i < numQueries; i++){
        //take first char input (q or p)
        cin >> type;
        if(type == 'p'){
            //take in 3 inputs
            int start, end;
            string color;
            cin >> start >> end;
            cin >> color;
            //modify the fences' colors
            for(int j = start; j <= end; j++){
                fences.at(j-1) = color;
            }
        }
        else if(type == 'q'){
            //take in 1 input
            int key;
            cin >> key;
            cout << fences.at(key-1) << endl;
        }
    }
}","Failed on case 3, test 0",TLE,C++17,2022-07-30 14:33:09.547993,40
197,YugoslaviaLover1992,1,1007,"#include <iostream>
#include <sstream>
#include <string>
#include <vector>

using namespace std;

struct plank {
  int num;
  string col = ""white"";
};

int main() {
  // n = number of planks, q = number of queries
  int n, q;

  cin >> n >> q;
  vector<plank> fence;

  for (int i = 0; i <= n; i++) {
    plank p;
    p.num = i + 1;
    // pushing p
    fence.push_back(p);
  }

  for (int i = 0; i <= q; i++) {
    string query;
    getline(cin, query);

    char qType = query[0];

    if (query[0] == 'p') {
      // paint colours from query[2] and query[4]
      int startInd, endInd;

      int counter = 0;

      istringstream iss(query);

      string word, newCol;

      while (iss >> word) {
        if (counter == 1) {
          startInd = stoi(word) - 1;
        } else if (counter == 2) {
          endInd = stoi(word) - 1;
        } else if (counter == 3) {
          newCol = word;
        }
        counter++;
      }

      for (startInd; startInd <= endInd; startInd++) {
        fence[startInd].col = newCol;
      }
    }

    if (query[0] == 'q') {
      string queryNum = query.substr(2, query.length() - 1);
      int ind = stoi(queryNum) - 1;

      cout << fence[ind].col << ""\n"";
    }
  }
}","Failed on case 3, test 0",TLE,C++17,2022-07-30 14:03:13.3095,40
198,theKevin27,1,1007,"#include <iostream>
#include <string>
#include <vector>

int main() {
int n;
std::cin >> n; // N
if (n < 2 || n > 1000) {
std::cout << ""Error: Wrong amount of numbers"" << std::endl;
return 0;
}
std::string nums; //""a""
std::cin.ignore();
std::getline(std::cin, nums);
std::vector<int> numArray;
int index = 0;
int length = 1;
for (int i = 0; i < nums.size(); i++) {
if (isspace(nums.at(i))) {
int number = stoi(nums.substr(index, length));
if (number < 1 || number > 100000) {
std::cout << ""Error: Numbers wrong size"" << std::endl;
return 0;
}
numArray.push_back(number);
length = -1;
index = i + 1;
}
length++;
}
int number = stoi(nums.substr(index, nums.length() - index));
if (number < 1 || number > 100000) {
std::cout << ""Error: Numbers wrong size"" << std::endl;
return 0;
}
numArray.push_back(number);
int total = 0;
for (int i = 0; i < numArray.size(); i++) {
total += numArray[i];
}
std::cout << ""Sum: "" << total << std::endl;
return 1;
}
","Error with code 1:
",ERR,C++17,2022-07-30 14:04:30.502988,0
199,PinesCyrex,1,1007,"#include <iostream>
#include <map>
#include <typeinfo>
using namespace std;
int main() {
    int fenceCount;
    int qCount;
    cin >> fenceCount >> qCount;

    map<int, string> fenceMap;
    fenceMap[0] = ""white"";
    int* fences = new int[fenceCount];
    //std::fill_n(fences, fenceCount, ""white""); // initialize all fences to white

    int counter = 1;
    string qType;
    int first;
    int last;
    string color;
    for (int i = 0; i < qCount; i++) {
        cin >> qType;
        if (qType == ""q"") {
            int retrieve;
            cin >> retrieve;
            auto it = fenceMap.find(fences[retrieve - 1]);
            string result = it->second;
            cout << result << endl;
        } else {
            cin >> first >> last >> color;
            fenceMap[counter] = color;
            for (int i = first - 1; i < last; i++) {
                fences[i] = counter;
            }
            counter++;
        }
    }

    delete[] fences;
    return 0;
}","Failed on case 4, test 0",MLE,C++17,2022-07-30 14:04:47.226692,60
200,duckduckdoo,1,1005,"#include <iostream>
using namespace std;
  
// Function to print an array 
void printArray(int arr[], int size)
{
    int i;
    for (i = 0; i < size; i++)
        cout << arr[i] << "" "";
    cout << endl;
}
  
// Driver code
int main()
{
  int arrSize, numQueries;
  cin>>arrSize>>numQueries;
  int arr[arrSize];
  for (int i = 0; i < arrSize; i++)
    arr[i] = i;
  
  for (int i = 0; i < arrSize - 1; i++) {
    for (int j = 0; j < arrSize - i - 1; j++) {
      cout<<""q 1""<<endl;
      cout<<arr[j]<<"" > ""<<arr[j+1]<<endl;
      bool x;
      cin>>x;
      if (x) {
        swap(arr[j], arr[j + 1]);
      }
    }
    
    cout<<""a "";
    printArray(arr, arrSize);
  }
    return 0;
}","WA on case 0, test 2","",C++17,2022-07-30 14:05:26.083436,0
201,rvijayar,1,1005,"#include <bits/stdc++.h>
#define rep(x, start, end) for (int x = start; x < end; x++)
#define pb(x)              push_back(x)
#define mp(x, y)           make_pair(x, y)
using namespace std;

typedef long long ll;
typedef vector<int> vi;
typedef pair<int, int> pii;

const int MAXN = 100;
int altb[MAXN][MAXN];  // a < b?

vector<pii> history;

int main() {
  ios::sync_with_stdio(false);
  cin.tie(NULL);

  rep(i, 0, MAXN) fill(altb[i], altb[i] + MAXN, 0);

  int n, m;
  cin >> n >> m;

  vi nums(n);
  iota(nums.begin(), nums.end(), 0);

  rep(i, 0, n) {
    history.clear();

    rep(j, 0, n) {
      if (i != j)
        history.pb(mp(i, j));
    }
    cout << ""q "" << history.size() << endl;

    for (auto&& x : history)
      cout << x.first << "" > "" << x.second << endl;

    for (auto&& x : history) {
      cin >> altb[x.first][x.second];
      if (altb[x.first][x.second] == -1)
        exit(-1);
    }
  }
  cout << ""a "";

  rep(i, 0, n) {
    rep(j, 0, n) {
      if (accumulate(&altb[j][0], &altb[j][n], 0) == i)
        cout << j << ' ';
    }
  }
  cout << flush;

  cin >> n;

  return 0;
}","WA on case 0, test 0",WA,C++17,2022-07-30 14:07:54.108257,0
202,duckduckdoo,1,1008,"#include <iostream>
#include <unistd.h>
using namespace std;

/****************************************************************/
/*                    Fractal Curve Function                    */
/* Mandelbrot set is used: en.wikipedia.org/wiki/Mandelbrot_set */
/*  Function creates a 2D array and populates it with values    */
/*                    based off Mandelbrot set                  */
/****************************************************************/
int **calculateSet(int maxX, int maxY){
    //Intialise an empty 2D array that corresponds to the max width and height
    int **returnSet = new int*[maxY];
    for(int p = 0; p < maxY; p++){
        returnSet[p] = new int[maxX];
    }

    //Create variables that will hold values for the Mandelbrot set
    float scale_x, scale_y;
    float r_x, r_y;
    float c_x, c_y;
    float t;

    //Ratio of how much the fractal takes up the avaliable spaace
    float x_ratio = .25;
    float y_ratio = .5;

    //Both values are buffers to centre the drawing
    float R = 1;
    float L = .15;  

    //Initalise the x and y scale of the fractal based off the max screen sizes and the x and y ratio of the fractals size
    scale_x = x_ratio/maxX;
    scale_y = y_ratio/maxY;

    //iterate through every x and y position and calculate the Mandelbrot set
    for(int i = 1;  i < maxY; i++){
        for(int k = 1; k < maxX; k++){
            //intialising real part for Mandelbrot set
            c_x = k * scale_x - L;  
            //intialising imaginary part for Mandelbrot set
            c_y = i * scale_y - R;

            //Real part for Z
            r_x = 0;
            //Imaginary Part for Z
            r_y = 0;

            // initalise empty colour value
            int colour = 0;

            //Figure out if the corresponding x and y position of the 2D array is a member of the Mandelbrot set
            //2 exit conditions are if it reaches a maximum iteration count of 100 or the distance diverges to far from the origin
            while((r_x*r_x + r_y*r_y < 4 ) && (colour <= 100)){
                //calculate real part of Z
                t  = r_x*r_x - r_y*r_y + c_x; 
                //calculate imaginary part of Z
                r_y = 2 * r_x * r_y + c_y;
                // update real component
                r_x = t;
                //Increase value
                colour++;
            }
            //set given value 
            returnSet[i][k] = colour;

        }
    }
    //return the 2D set for drawing
    return returnSet;
}

/********************************************************/
/*                     Draw Function                    */
/*  This function draws a given 2D set of values with   */
/*  rectangles, whos colour is dependent on a bucketed  */
/*                 value pre determined.                */
/********************************************************/
void draw(int **toDraw, int mX, int mY){

    //Intialising colour values 
	string green = ""\033[22;32m"";
	string _green = ""\033[01;32m"";
	string orange = ""\033[22;33m"";
	string yellow = ""\033[01;33m"";
	string blue = ""\033[22;34m"";
	string _blue = ""\033[01;34m"";
	string magenta = ""\033[22;35m"";
	string _magenta = ""\033[01;35m"";
	string cyan = ""\033[22;36m"";
	string _cyan = ""\033[01;36m"";

    //iterate through the 2D array toDraw
    for(int i = 0; i < mX; i++){
        for(int k = 0; k < mY; k++){
            //Check colour value of toDraw and print the corresponding coloured rectangle
            if(toDraw[k][i] == 100)      cout << "" "";
            else if(toDraw[k][i] > 90) cout << green << ""\u2588"";
            else if(toDraw[k][i] > 80) cout << _green << ""\u2588"";
            else if(toDraw[k][i] > 70) cout << orange << ""\u2588"";
            else if(toDraw[k][i] > 60) cout << yellow << ""\u2588"";
            else if(toDraw[k][i] > 50) cout << blue << ""\u2588"";
            else if(toDraw[k][i] > 40) cout << _blue << ""\u2588"";
            else if(toDraw[k][i] > 30) cout << magenta << ""\u2588"";
            else if(toDraw[k][i] > 20) cout << _magenta << ""\u2588"";
            else if(toDraw[k][i] > 10) cout << cyan << ""\u2588"";
            else if(toDraw[k][i] > 0) cout << _cyan <<  ""\u2588"";

        }
        //New line once it hits the max width
        cout << ""\n"";
    }
    return;
}

/*********************************************************/
/*                  Fractal Drawer 1.0                   */
/*  Using 2 custom functions, this file allows the user  */
/* to specify 2 input values of max width and max height */
/*   for the program to draw a fractal based of these    */
/*                     dimensions                        */
/*********************************************************/
int main(){
    //Intialise max height and width values
    int maxX, maxY;
    cout << "" Input Max X size: "";
    cin >> maxX;
    cout << "" Input Max Y size: "";    
    cin >> maxY;

    //Create a 2D set of values that determine colour value
    int **set = calculateSet(maxX, maxY);
    //Draw using 2D array of values
    draw(set, maxX, maxY);
        
    return 0;
}",Only your latest submission will be checked,AC,C++17,2022-07-30 14:08:21.970837,10
203,datOvercommon,1,1007,"import os
import sys

plank1 = list(map(int, input().split()))
query = plank1[1]
plank = plank1[0]

fences = {1: ""white""}

for x in range(1, plank+1):
    fences.update({x: ""white""})

out = []
for x in range(query):
    command = list(input().split())
    # print(command)
    if command[0] == 'q':
        n = command[1]
        out.append(fences.get(int(n)))
        # print(out)
    if command[0] == 'p':
        # print(command)
        start = int(command[1])
        end = int(command[2])
        col = command[3]
        # print(col)
        for x in range(start, end+1):
            fences[x] = col
        # print(fences)
for x in out:
    print(x)
","Failed on case 2, test 0",TLE,Python3,2022-07-30 14:08:35.624803,20
206,FuduBoys,1,1007,"nums = list(map(int, input().split()))
planks = ['white'] * nums[0]

for i in range(nums[1]):
    query = input().split()
    if query[0] == 'p':
        for j in range(int(query[1]) - 1, int(query[2])):
            planks[j] = query[3]
    else:
        print(planks[int(query[1]) - 1])
","Failed on case 2, test 0",TLE,Python3,2022-07-30 14:15:02.04012,20
230,SoloGuy,1,1006,"m=int(input())
mw=m*2-1
mi=mw//2
ll=[]
def f(r, w, ll):
    if r == 1:
        ll.append(' '*mi+'<\n'+' '*mi+'|\n'+' '*mi+'.')
    else:
        s=w-2
        t=[' ' for i in range(s)]
        for i in range(0, s//2+1):
            t[i]=t[s-1-i]=chr(65+i)
        ll.append(' '*((mw-w)//2)+'/'+''.join(t)+'\\')
        f(r-1,w-2,ll)
f(m, mw, ll)
for row in ll[::-1]:
    print(row)
","",AC,Python3,2022-07-30 14:33:56.176737,50
207,JavaScriptJatts,1,1007,"#include <bits/stdc++.h>

using namespace ::std;


class paint{
public:
    int start;
    int end;
    string color;

    paint(int start, int end, string color): start(start), end(end), color(color){}

};


void fix(vector<string>& fence, vector<paint>& instructions , int&N){

    vector<int> allowed(N+1, 1);

    int start,end;
    string color;

    for(int i = instructions.size()-1; i >= 0; i--){

        start = instructions[i].start;
        end = instructions[i].end;
        color = instructions[i].color;

        for(int j = start; j <= end; j++){
            if(allowed[j]){
                fence[j] = color;
                allowed[j] = 0;
            }
        }



    }




}

int main() {
    int N;
    int Q;

    string option;
    int start;
    int end;

    int q;
    string color;

    cin >> N >> Q;

    vector<string> fence(N+1, ""white"");
    vector<paint> instructions;

    while(cin >> option){

        //while painting
        while(option == ""p""){
            cin >> start >> end >> color;
            paint obj(start,end,color);
            instructions.push_back(obj);
            cin >> option;
        }

        //else if q
        if(option == ""q""){
            fix(fence, instructions, N);
            cin >> q;
            cout << fence[q] << ""\n"";
        }
    }
}

// \o/
//  |
// /_\_","Failed on case 2, test 0",TLE,C++17,2022-07-30 14:15:47.782733,20
208,PinesCyrex,1,1007,"#include <iostream>
#include <map>
#include <typeinfo>
using namespace std;
int main() {
    int fenceCount;
    int qCount;
    cin >> fenceCount >> qCount;

    map<int, string> fenceMap;
    fenceMap[0] = ""white"";
    int* fences = new int[fenceCount];
    //std::fill_n(fences, fenceCount, ""white""); // initialize all fences to white

    int counter = 1;
    int retrieve;
    string qType;
    int first;
    int last;
    string color;
    bool existInMap;
    int existIndex;
    map<int, string>::iterator itr;
    for (int i = 0; i < qCount; i++) {
        cin >> qType;
        if (qType == ""q"") {
            cin >> retrieve;
            auto it = fenceMap.find(fences[retrieve - 1]);
            string result = it->second;
            cout << result << endl;
        } else {
            cin >> first >> last >> color;
            for(itr = fenceMap.begin(); itr != fenceMap.end(); itr++) {
                if (itr->second == color) {
                    existInMap = true;
                    existIndex = itr->first;
                }
            }
            if (!existInMap) {
                fenceMap[counter] = color;
            }
            
            for (int i = first - 1; i < last; i++) {
                if (existInMap) {
                    fences[i] = existIndex;
                } else {
                fences[i] = counter;
                }
            }
            counter++;
            existInMap = false;
        }
    }

    delete[] fences;
    return 0;
}","Failed on case 4, test 0",MLE,C++17,2022-07-30 14:16:50.764281,60
209,Dragoneel,1,1006,"m = int(input())

print(("" "" * (m-1)) + "">\n"" + ("" "" * (m-1)) + ""|\n"" + ("" "" * (m-1)) + ""."")
m = m - 1
for i in range(65,65+m):
    m=m-1
    
    print(("" "" * (m)) + ""/"",end="""")
    for k in range(65,i+1):
        print(chr(k),end="""")

    for j in range(i-1,64,-1):
        print(chr(j),end="""")  
    print('\\')


","",AC,Python3,2022-07-30 14:17:12.208338,50
244,duckduckdoo,1,1007,"
#include <iostream>
#include <unordered_map>
#include <map>
#include <vector>
using namespace std;


int main() {
    int numFences, numQueries;
    cin>>numFences>>numQueries;
    map<int, string> *f = new map<int, string>[numFences];
    vector<string> vect(numFences, ""white"");

    for (int i = 0; i < numQueries; i++) {
        char command;
        cin>>command;
        if (command == 'p') {
            int start, end;
            string color;
            cin>>start>>end>>color;
            for (int i = start-1; i < end; i++) {
                vect[i] = color;
            }
        }
        else if (command == 'q') {
            int fenceNum;
            cin>>fenceNum;
            vect[--fenceNum];
        }
    }
}","WA on case 0, test 0",WA,C++17,2022-07-30 14:47:28.974352,0
245,duckduckdoo,1,1007,"
#include <iostream>
#include <unordered_map>
#include <map>
#include <vector>
using namespace std;


int main() {
    int numFences, numQueries;
    cin>>numFences>>numQueries;
    map<int, string> *f = new map<int, string>[numFences];
    vector<string> vect(numFences, ""white"");

    for (int i = 0; i < numQueries; i++) {
        char command;
        cin>>command;
        if (command == 'p') {
            int start, end;
            string color;
            cin>>start>>end>>color;
            for (int i = start-1; i < end; i++) {
                vect[i] = color;
            }
        }
        else if (command == 'q') {
            int fenceNum;
            cin>>fenceNum;
            vect[--fenceNum];
        }
    }
}","WA on case 0, test 0",WA,C++23,2022-07-30 14:47:48.578323,0
